69,immediate_ADC
65,zeropage_ADC
75,zeropageX_ADC
6D,absolute_ADC
7D,absoluteX_ADC
79,absoluteY_ADC
61,indirectX_ADC
71,indirectY_ADC
29,immediate_AND
25,zeropage_AND
35,zeropageX_AND
2D,absolute_AND
3D,absoluteX_AND
39,absoluteY_AND
21,indirectX_AND
31,indirectY_AND
0A,accumulator_ASL
06,zeropage_ASL
16,zeropageX_ASL
0E,absolute_ASL
1E,absoluteX_ASL
90,relative_BCC
B0,relative_BCS
F0,relative_BEQ
24,zeropage_BIT
2C,absolute_BIT
30,relative_BMI
D0,relative_BNE
10,relative_BPL
00,implied_BRK
50,relative_BVC
70,relative_BVS
18,implied_CLC
D8,implied_CLD
58,implied_CLI
B8,implied_CLV
C9,immediate_CMP
C5,zeropage_CMP
D5,zeropageX_CMP
CD,absolute_CMP
DD,absoluteX_CMP
D9,absoluteY_CMP
C1,indirectX_CMP
D1,indirectY_CMP
E0,immediate_CPX
E4,zeropage_CPX
EC,absolute_CPX
C0,immediate_CPY
C4,zeropage_CPY
CC,absolute_CPY
C6,zeropage_DEC
D6,zeropageX_DEC
CE,absolute_DEC
DE,absoluteX_DEC
CA,implied_DEX
88,implied_DEY
49,immediate_EOR
45,zeropage_EOR
55,zeropageX_EOR
4D,absolute_EOR
5D,absoluteX_EOR
59,absoluteY_EOR
41,indirectX_EOR
51,indirectY_EOR
E6,zeropage_INC
F6,zeropageX_INC
EE,absolute_INC
FE,absoluteX_INC
E8,implied_INX
C8,implied_INY
4C,absolute_JMP
6C,absolute_JMP
20,absolute_JSR
A9,immediate_LDA
A5,zeropage_LDA
B5,zeropageX_LDA
AD,absolute_LDA
BD,absoluteX_LDA
B9,absoluteY_LDA
A1,indirectX_LDA
B1,indirectY_LDA
A2,immediate_LDX
A6,zeropage_LDX
B6,zeropageY_LDX
AE,absolute_LDX
BE,absoluteY_LDX
A0,immediate_LDY
A4,zeropage_LDY
B4,zeropageX_LDY
AC,absolute_LDY
BC,absoluteX_LDY
4A,accumulator_LSR
46,zeropage_LSR
56,zeropageX_LSR
4E,absolute_LSR
5E,absoluteX_LSR
EA,implied_NOP
09,immediate_ORA
05,zeropage_ORA
15,zeropageX_ORA
0D,absolute_ORA
1D,absoluteX_ORA
19,absoluteY_ORA
01,indirectX_ORA
11,indirectY_ORA
48,implied_PHA
08,implied_PHP
68,implied_PLA
28,implied_PLP
2A,accumulator_ROL
26,zeropage_ROL
36,zeropageX_ROL
2E,absolute_ROL
3E,absoluteX_ROL
6A,accumulator_ROR
66,zeropage_ROR
76,zeropageX_ROR
6E,absolute_ROR
7E,absoluteX_ROR
40,implied_RTI
60,implied_RTS
E9,immediate_SBC
E5,zeropage_SBC
F5,zeropageX_SBC
ED,absolute_SBC
FD,absoluteX_SBC
F9,absoluteY_SBC
E1,indirectX_SBC
F1,indirectY_SBC
38,implied_SEC
F8,implied_SED
78,implied_SEI
85,zeropage_STA
95,zeropageX_STA
8D,absolute_STA
9D,absoluteX_STA
99,absoluteY_STA
81,indirectX_STA
91,indirectY_STA
86,zeropage_STX
96,zeropageY_STX
8E,absolute_STX
84,zeropage_STY
94,zeropageX_STY
8C,absolute_STY
AA,implied_TAX
A8,implied_TAY
BA,implied_TSX
8A,implied_TXA
9A,implied_TXS
98,implied_TYA
